88.15.95.180 - - [26/Oct/2018:15:11:34 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:11:36 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:11:37 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:11:49 +0200] "GET / HTTP/2.0" 500 4 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:11:49 +0200] "GET /favicon.ico HTTP/2.0" 500 4 "https://api.mk1.es/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:16:34 +0200] "GET / HTTP/2.0" 500 4 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:16:34 +0200] "GET /favicon.ico HTTP/2.0" 500 4 "https://api.mk1.es/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:16:35 +0200] "GET / HTTP/2.0" 500 4 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:16:35 +0200] "GET /favicon.ico HTTP/2.0" 500 4 "https://api.mk1.es/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:16:36 +0200] "GET / HTTP/2.0" 500 4 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:16:36 +0200] "GET /favicon.ico HTTP/2.0" 500 4 "https://api.mk1.es/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:20:22 +0200] "GET / HTTP/2.0" 500 4 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:20:22 +0200] "GET /favicon.ico HTTP/2.0" 500 4 "https://api.mk1.es/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
